skeptycal/beautiful-visualisations	Talk at jsFoo Bangalore on 20 Oct 2012	public, fork	2013-10-02T12:58:36Z
skeptycal/beer-data-science	Various forays into the data science of beer.	public, fork	2018-06-04T10:07:21Z
skeptycal/bench-dot-product	Several variations of a dot product benchmark.	public, fork	2012-12-10T19:17:03Z
skeptycal/benchmarks2	Various benchmark tests	public, fork	2015-05-10T03:25:06Z
skeptycal/benchmarks_kt		public, fork	2013-04-04T17:57:57Z
skeptycal/better-future	Extra utilities for working with futures-rs	public, fork	2018-07-11T20:48:40Z
skeptycal/beziers.py	Python bezier manipulation library	public, fork	2019-01-25T11:38:58Z
skeptycal/bias		public, fork	2017-04-19T23:20:55Z
skeptycal/big-mac-data	Data and methodology for the Big Mac index	public, fork	2018-10-11T12:32:48Z
skeptycal/bigdata-fun	A complete (distributed) BigData stack, running in containers	public, fork	2017-03-22T11:58:15Z
skeptycal/binaryornot	Ultra-lightweight pure Python package to check if a file is binary or text.	public, fork	2017-08-21T01:40:40Z
skeptycal/bokeh	Interactive Web Plotting for Python	public, fork	2022-04-09T07:01:11Z
skeptycal/btree	BTree provides a simple, ordered, in-memory data structure for Go programs.	public, fork	2021-12-15T13:37:55Z
skeptycal/build-web-application-with-golang	A golang ebook intro how to build a web with golang	public, fork	2018-11-22T04:06:26Z
skeptycal/caprine	Elegant Facebook Messenger desktop app	public, fork	2022-03-25T19:10:49Z
skeptycal/chemicaljson	Development of the Chemical JSON data representation	public, fork	2019-03-07T20:48:40Z
skeptycal/chrome-extension-dev-template	A boilerplate/template/bootstrap of chrome extension development.	public, fork	2012-12-06T07:08:40Z
skeptycal/colour_analyser	Analysing colours (RGBC) with colour sensors and AVR.	public, fork	2018-12-16T15:26:23Z
skeptycal/compression	Data compression in TensorFlow	public, fork	2018-08-07T18:14:30Z
skeptycal/curl	A command line tool and library for transferring data with URL syntax, supporting HTTP, HTTPS, FTP, FTPS, GOPHER, TFTP, SCP, SFTP, SMB, TELNET, DICT, LDAP, LDAPS, FILE, IMAP, SMTP, POP3, RTSP and RTMP. libcurl offers a myriad of powerful features	public, fork	2018-10-11T14:58:12Z
skeptycal/d3-collection	Handy data structures for elements keyed by string.	public, fork	2022-02-13T17:54:36Z
skeptycal/d3-geo-polygon	Clipping and geometric operations for spherical polygons.	public, fork	2022-02-13T17:54:41Z
skeptycal/d3-network-visualization		public, fork	2015-03-01T02:31:29Z
skeptycal/d3-process-map	Web application to illustrate the relationships between objects in a process using d3.js.	public, fork	2017-06-29T09:15:37Z
skeptycal/d3_geographic_tutorial		public, fork	2018-04-19T06:14:16Z
skeptycal/d3_tutorial	A tutorial intended to teach basic D3.js skills to the New College of Florida Data Science Program	public, fork	2018-04-12T01:56:55Z
skeptycal/data	Open Data Sources	public, fork	2018-05-08T15:39:42Z
skeptycal/data-atom	Query and manage data sources from Atom	public, fork	2020-10-23T22:12:50Z
skeptycal/data-prototyping-talk	Data Prototyping with Python (Slides & Resources from talk)	public, fork	2014-09-10T21:29:12Z
skeptycal/data-pyrotechnics	Road trip, fireworks, LightBlue Bean data logging.	public, fork	2016-08-29T21:30:47Z
